date_key,date,year,month,day,day_name,day_of_year,week_of_month,week_of_year,month_name,year_month,year_week
20200101,2020-01-01,2020,1,1,Wednesday,1,1,1,January,202001,202001
20200102,2020-01-02,2020,1,2,Thursday,2,1,1,January,202001,202001
20200103,2020-01-03,2020,1,3,Friday,3,1,1,January,202001,202001
20200104,2020-01-04,2020,1,4,Saturday,4,1,1,January,202001,202001
20200105,2020-01-05,2020,1,5,Sunday,5,2,2,January,202001,202002
20200106,2020-01-06,2020,1,6,Monday,6,2,2,January,202001,202002
20200107,2020-01-07,2020,1,7,Tuesday,7,2,2,January,202001,202002
20200108,2020-01-08,2020,1,8,Wednesday,8,2,2,January,202001,202002
20200109,2020-01-09,2020,1,9,Thursday,9,2,2,January,202001,202002
20200110,2020-01-10,2020,1,10,Friday,10,2,2,January,202001,202002
20200111,2020-01-11,2020,1,11,Saturday,11,2,2,January,202001,202002
20200112,2020-01-12,2020,1,12,Sunday,12,3,3,January,202001,202003
20200113,2020-01-13,2020,1,13,Monday,13,3,3,January,202001,202003
20200114,2020-01-14,2020,1,14,Tuesday,14,3,3,January,202001,202003
20200115,2020-01-15,2020,1,15,Wednesday,15,3,3,January,202001,202003
20200116,2020-01-16,2020,1,16,Thursday,16,3,3,January,202001,202003
20200117,2020-01-17,2020,1,17,Friday,17,3,3,January,202001,202003
20200118,2020-01-18,2020,1,18,Saturday,18,3,3,January,202001,202003
20200119,2020-01-19,2020,1,19,Sunday,19,4,4,January,202001,202004
20200120,2020-01-20,2020,1,20,Monday,20,4,4,January,202001,202004
20200121,2020-01-21,2020,1,21,Tuesday,21,4,4,January,202001,202004
20200122,2020-01-22,2020,1,22,Wednesday,22,4,4,January,202001,202004
20200123,2020-01-23,2020,1,23,Thursday,23,4,4,January,202001,202004
20200124,2020-01-24,2020,1,24,Friday,24,4,4,January,202001,202004
20200125,2020-01-25,2020,1,25,Saturday,25,4,4,January,202001,202004
20200126,2020-01-26,2020,1,26,Sunday,26,5,5,January,202001,202005
20200127,2020-01-27,2020,1,27,Monday,27,5,5,January,202001,202005
20200128,2020-01-28,2020,1,28,Tuesday,28,5,5,January,202001,202005
20200129,2020-01-29,2020,1,29,Wednesday,29,5,5,January,202001,202005
20200130,2020-01-30,2020,1,30,Thursday,30,5,5,January,202001,202005
20200131,2020-01-31,2020,1,31,Friday,31,5,5,January,202001,202005
20200201,2020-02-01,2020,2,1,Saturday,32,1,5,February,202002,202005
20200202,2020-02-02,2020,2,2,Sunday,33,2,6,February,202002,202006
20200203,2020-02-03,2020,2,3,Monday,34,2,6,February,202002,202006
20200204,2020-02-04,2020,2,4,Tuesday,35,2,6,February,202002,202006
20200205,2020-02-05,2020,2,5,Wednesday,36,2,6,February,202002,202006
20200206,2020-02-06,2020,2,6,Thursday,37,2,6,February,202002,202006
20200207,2020-02-07,2020,2,7,Friday,38,2,6,February,202002,202006
20200208,2020-02-08,2020,2,8,Saturday,39,2,6,February,202002,202006
20200209,2020-02-09,2020,2,9,Sunday,40,3,7,February,202002,202007
20200210,2020-02-10,2020,2,10,Monday,41,3,7,February,202002,202007
20200211,2020-02-11,2020,2,11,Tuesday,42,3,7,February,202002,202007
