country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Cyprus,CY,CYP,875899,0,0,2020-06-14,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,6,0,2020-06-10,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,0,0,2020-05-18,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2,0,2020-09-29,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,2020-01-15,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,443,6,2020-10-05,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2446,240,2020-03-25,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,28,0,2020-04-27,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2,0,2020-10-03,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,2020-06-03,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,11,0,2020-05-15,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,260,5,2020-07-16,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,117,10,2020-07-21,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,2020-02-01,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,425,1,2020-08-06,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,148,1,2020-10-17,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,430,8,2020-04-05,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,2020-01-23,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,11123,27,2020-09-28,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,37,0,2020-08-28,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,757,2,2020-09-20,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,0,0,2020-02-20,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,2020-10-12,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1742,67,2020-09-16,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,12,1,2020-04-29,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,123,25,2020-05-24,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,2020-06-04,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,2020-05-15,"Epidemic intelligence, national daily data"
