country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,new_hospital_occupancy_count,new_icu_occupancy_count,source
Belgium,BE,BEL,11455519,2020-W43,2020-10-18,2020-10-24,28.3793340135877,,"TESSy COVID-19, national weekly data"
Czechia,CZ,CZE,10649800,2020-W43,2020-10-18,2020-10-24,81.9545906965389,14.9298578377059,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W43,2020-10-18,2020-10-24,2.79017809086715,,
Estonia,EE,EST,1324820,2020-W43,2020-10-18,2020-10-24,,0.301927809060854,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W43,2020-10-18,2020-10-24,,2.70992668678349,
Greece,EL,GRC,10724599,2020-W43,2020-10-18,2020-10-24,,0.512839687525846,"TESSy COVID-19, national weekly data"
Iceland,IS,ISL,356991,2020-W43,2020-10-18,2020-10-24,14.8463126521397,,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W43,2020-10-18,2020-10-24,4.44513319087157,0.244686230690178,
Latvia,LV,LVA,1919968,2020-W43,2020-10-18,2020-10-24,6.45844097401623,0.416673611226854,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W43,2020-10-18,2020-10-24,,1.86897901611043,
Netherlands,NL,NLD,17282163,2020-W43,2020-10-18,2020-10-24,2.09464521310209,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W43,2020-10-18,2020-10-24,2.3840530400228,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W43,2020-10-18,2020-10-24,136.042942841876,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W43,2020-10-18,2020-10-24,7.59283927977594,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W43,2020-10-18,2020-10-24,6.40645153318082,0.323837922528595,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W43,2020-10-18,2020-10-24,,0.273699840227718,
United Kingdom,UK,GBR,66647112,2020-W43,2020-10-18,2020-10-24,10.2585090258675,,
Belgium,BE,BEL,11455519,2020-W42,2020-10-11,2020-10-17,15.4510677342511,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W42,2020-10-11,2020-10-17,12.8304327069564,,
Cyprus,CY,CYP,875899,2020-W42,2020-10-11,2020-10-17,2.39753670229102,0.342505243184431,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W42,2020-10-11,2020-10-17,53.6348100433811,10.7325959172942,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W42,2020-10-11,2020-10-17,2.49738162454158,,
Estonia,EE,EST,1324820,2020-W42,2020-10-11,2020-10-17,,0.150963904530427,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W42,2020-10-11,2020-10-17,0.377409761326067,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W42,2020-10-11,2020-10-17,,2.00409225790211,
Greece,EL,GRC,10724599,2020-W42,2020-10-11,2020-10-17,,0.354325602290585,"TESSy COVID-19, national weekly data"
Iceland,IS,ISL,356991,2020-W42,2020-10-11,2020-10-17,4.76202481295047,,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W42,2020-10-11,2020-10-17,3.05857788362723,0.183514673017634,
Latvia,LV,LVA,1919968,2020-W42,2020-10-11,2020-10-17,2.70837847297455,0.31250520842014,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W42,2020-10-11,2020-10-17,2.87001112071446,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W42,2020-10-11,2020-10-17,,1.52758656425125,
