"Country","Response_measure","change","date_start","date_end"
"Austria","AdaptationOfWorkplace",1,2020-03-10,NA
"Austria","ClosDaycare",1,2020-03-16,2020-05-04
"Austria","ClosHigh",1,2020-03-16,2020-09-30
"Austria","ClosPrim",1,2020-03-16,2020-05-18
"Austria","ClosPubAny",1,2020-03-16,2020-04-13
"Austria","ClosPubAnyPartial",1,2020-04-14,NA
"Austria","ClosSec",1,2020-03-16,2020-05-03
"Austria","ClosSecPartial",1,2020-05-04,2020-06-03
"Austria","EntertainmentVenues",1,2020-03-16,2020-04-30
"Austria","EntertainmentVenuesPartial",1,2020-05-01,2020-05-29
"Austria","GymsSportsCentres",1,2020-03-16,2020-04-30
"Austria","GymsSportsCentresPartial",1,2020-05-01,2020-05-29
"Austria","HotelsOtherAccommodation",1,2020-03-31,2020-05-29
"Austria","IndoorOver100",1,2020-03-10,2020-03-15
"Austria","IndoorOver100",3,2020-05-01,2020-07-01
"Austria","IndoorOver1000",1,2020-07-02,2020-07-31
"Austria","IndoorOver1000",3,2020-09-21,NA
"Austria","IndoorOver5",1,2020-03-16,2020-04-30
"Austria","MasksMandatoryAllSpaces",1,2020-09-14,NA
"Austria","MasksMandatoryClosedSpaces",1,2020-04-06,2020-06-14
"Austria","MasksMandatoryClosedSpacesPartial",1,2020-06-15,2020-09-13
"Austria","MasksVoluntaryClosedSpacesPartial",1,2020-03-31,2020-04-05
"Austria","MassGatherAll",1,2020-03-10,2020-07-31
"Austria","MassGatherAll",3,2020-09-21,NA
"Austria","NonEssentialShops",1,2020-03-16,2020-04-13
"Austria","NonEssentialShopsPartial",1,2020-04-14,2020-05-01
"Austria","OutdoorOver1000",1,2020-07-02,2020-07-31
"Austria","OutdoorOver1000",3,2020-09-21,NA
"Austria","OutdoorOver5",1,2020-03-16,2020-04-30
"Austria","OutdoorOver50",1,2020-05-01,2020-05-29
"Austria","OutdoorOver500",1,2020-03-10,2020-03-15
"Austria","OutdoorOver500",3,2020-05-30,2020-07-01
"Austria","PlaceOfWorship",1,2020-03-16,2020-05-14
"Austria","PlaceOfWorshipPartial",1,2020-05-15,NA
"Austria","RestaurantsCafes",1,2020-03-16,2020-05-15
"Austria","StayHomeGen",1,2020-03-10,2020-03-15
"Austria","StayHomeOrder",1,2020-03-16,2020-04-30
"Austria","Teleworking",1,2020-03-10,NA
"Belgium","ClosDaycare",1,2020-05-01,2020-06-02
"Belgium","ClosHigh",1,2020-03-13,NA
"Belgium","ClosPrim",1,2020-03-13,2020-05-17
"Belgium","ClosPrimPartial",1,2020-05-18,2020-06-08
"Belgium","ClosPubAny",1,2020-03-13,2020-05-03
"Belgium","ClosPubAnyPartial",1,2020-05-04,NA
"Belgium","ClosSec",1,2020-03-13,2020-05-17
"Belgium","ClosSecPartial",1,2020-05-18,2020-08-28
"Belgium","EntertainmentVenues",1,2020-03-13,2020-05-17
"Belgium","EntertainmentVenuesPartial",1,2020-05-18,NA
"Belgium","GymsSportsCentres",1,2020-03-13,2020-05-03
"Belgium","GymsSportsCentresPartial",1,2020-05-04,2020-07-01
"Belgium","IndoorOver1000",1,2020-03-10,2020-03-17
"Belgium","IndoorOver5",1,2020-03-18,2020-06-30
"Belgium","IndoorOver500",1,2020-07-01,NA
"Belgium","MasksMandatoryAllSpaces",1,2020-07-11,2020-09-30
"Belgium","MasksMandatoryClosedSpaces",1,2020-05-04,NA
"Belgium","MasksVoluntaryAllSpaces",1,2020-05-04,2020-07-10
"Belgium","MasksVoluntaryAllSpacesPartial",1,2020-10-01,NA
"Belgium","MassGatherAll",1,2020-03-10,NA
"Belgium","NonEssentialShops",1,2020-03-13,2020-05-03
"Belgium","NonEssentialShopsPartial",1,2020-05-04,2020-06-02
"Belgium","OutdoorOver5",1,2020-03-18,2020-06-30
"Belgium","OutdoorOver500",1,2020-07-01,NA
"Belgium","PlaceOfWorship",1,2020-03-13,2020-06-07
"Belgium","PlaceOfWorshipPartial",1,2020-06-08,2020-10-05
"Belgium","RestaurantsCafes",1,2020-03-13,2020-06-08
"Belgium","SocialCircle",1,2020-03-18,NA
"Belgium","StayHomeGenPartial",1,2020-05-11,2020-08-31
"Belgium","StayHomeOrder",1,2020-03-18,2020-05-10
"Belgium","Teleworking",1,2020-03-10,2020-06-07
"Belgium","TeleworkingPartial",1,2020-06-08,NA
"Bulgaria","ClosDaycare",1,2020-03-13,2020-05-21
"Bulgaria","ClosDaycarePartial",1,2020-05-22,2020-06-14
"Bulgaria","ClosHigh",1,2020-03-13,2020-05-31
"Bulgaria","ClosHighPartial",1,2020-06-01,NA
"Bulgaria","ClosPrim",1,2020-03-13,NA
"Bulgaria","ClosPubAny",1,2020-03-13,2020-05-17
"Bulgaria","ClosPubAnyPartial",1,2020-05-18,NA
"Bulgaria","ClosSec",1,2020-03-13,NA
"Bulgaria","EntertainmentVenues",1,2020-03-13,2020-05-17
