country,indicator,date,year_week,value,source,url
Austria,Daily hospital occupancy,2020-04-02,2020-W14,1057,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,2020-04-08,2020-W15,1096,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,2020-04-15,2020-W16,1001,Surveillance,https://info.gesundheitsministerium.at/dashboard_Epidem.html?l=de
Austria,Daily hospital occupancy,2020-04-16,2020-W16,967,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,2020-04-17,2020-W16,909,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,2020-04-19,2020-W16,817,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,2020-04-21,2020-W17,756,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,2020-04-22,2020-W17,700,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,2020-04-23,2020-W17,677,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,2020-04-24,2020-W17,651,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,2020-04-27,2020-W18,579,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,2020-04-28,2020-W18,561,Surveillance,https://info.gesundheitsministerium.at/dashboard_Epidem.html?l=de
Austria,Daily hospital occupancy,2020-04-29,2020-W18,517,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,2020-04-30,2020-W18,500,Country_Website,
Austria,Daily hospital occupancy,2020-05-02,2020-W18,428,Country_Website,
Austria,Daily hospital occupancy,2020-05-03,2020-W18,422,Country_Website,
Austria,Daily hospital occupancy,2020-05-04,2020-W19,420,Country_Website,
Austria,Daily hospital occupancy,2020-05-05,2020-W19,418,Country_Website,
Austria,Daily hospital occupancy,2020-05-06,2020-W19,418,Country_Website,
Austria,Daily hospital occupancy,2020-05-07,2020-W19,360,Country_Website,
Austria,Daily hospital occupancy,2020-05-08,2020-W19,339,Country_Website,
Austria,Daily hospital occupancy,2020-05-09,2020-W19,309,Country_Website,
Austria,Daily hospital occupancy,2020-05-10,2020-W19,291,Country_Website,
Austria,Daily hospital occupancy,2020-05-11,2020-W20,279,Country_Website,
Austria,Daily hospital occupancy,2020-05-12,2020-W20,264,Country_Website,
Austria,Daily hospital occupancy,2020-05-13,2020-W20,243,Country_Website,
Austria,Daily hospital occupancy,2020-05-14,2020-W20,234,Country_Website,
Austria,Daily hospital occupancy,2020-05-15,2020-W20,212,Country_Website,
Austria,Daily hospital occupancy,2020-05-16,2020-W20,208,Country_Website,
Austria,Daily hospital occupancy,2020-05-17,2020-W20,197,Country_Website,
Austria,Daily hospital occupancy,2020-05-18,2020-W21,196,Country_Website,
Austria,Daily hospital occupancy,2020-05-20,2020-W21,174,Country_Website,
Austria,Daily hospital occupancy,2020-05-21,2020-W21,188,Country_Website,
Austria,Daily hospital occupancy,2020-05-22,2020-W21,159,Country_Website,
Austria,Daily hospital occupancy,2020-05-23,2020-W21,144,Country_Website,
Austria,Daily hospital occupancy,2020-05-24,2020-W21,137,Country_Website,
Austria,Daily hospital occupancy,2020-05-25,2020-W22,139,Country_Website,
Austria,Daily hospital occupancy,2020-05-26,2020-W22,127,Country_Website,
Austria,Daily hospital occupancy,2020-05-27,2020-W22,116,Country_Website,
Austria,Daily hospital occupancy,2020-05-28,2020-W22,107,Country_Website,
